"from","to","weight"
0,644,0.83
0,464,0.2
0,439,0.2
1,756,0.94
1,464,0.2
1,439,0.2
2,616,0.86
2,583,0.83
2,610,0.76
2,464,0.2
2,439,0.2
3,873,1
3,440,0.2
4,636,0.83
4,543,0.2
4,513,0.2
4,444,0.2
4,441,0.2
5,513,1
5,543,0.2
5,444,0.2
5,441,0.2
6,543,1
6,609,0.76
6,513,0.2
6,444,0.2
6,441,0.2
7,442,0.2
8,716,0.89
8,442,0.2
9,612,0.9
9,583,0.83
9,478,0.79
9,557,0.79
9,610,0.76
9,443,0.2
10,441,0.96
10,543,0.2
10,513,0.2
10,444,0.2
11,571,0.24
11,445,0.2
12,473,1
12,446,0.2
13,462,1
13,447,0.2
14,517,1
14,494,0.2
14,451,0.2
14,448,0.2
15,592,0.82
15,594,0.76
15,449,0.2
16,521,1
16,450,0.2
17,536,1
17,452,0.2
18,569,0.94
18,453,0.2
19,505,1
19,659,0.83
19,454,0.2
20,455,0.2
21,475,1
21,456,0.2
22,476,0.24
22,487,0.2
22,457,0.2
23,487,1
23,476,0.2
23,457,0.2
24,697,0.89
24,458,0.2
25,688,0.89
25,459,0.2
26,504,1
26,460,0.2
27,488,1
27,463,0.2
27,461,0.2
28,447,0.24
28,462,0.2
29,514,1
29,467,0.2
29,465,0.2
30,534,1
30,466,0.2
31,465,0.96
31,514,0.2
31,467,0.2
32,774,0.94
32,472,0.79
32,471,0.2
32,468,0.2
33,553,0.24
33,551,0.24
33,502,0.2
33,469,0.2
34,535,1
34,578,0.83
34,470,0.2
35,468,1
35,621,0.83
35,471,0.2
36,503,1
36,472,0.2
37,446,1
37,473,0.2
38,772,0.94
38,520,0.2
38,474,0.2
39,456,1
39,475,0.2
40,684,0.89
40,477,0.2
41,769,0.94
41,478,0.2
42,740,0.93
42,479,0.2
43,480,0.2
44,655,0.83
44,481,0.2
45,520,0.94
45,481,0.2
46,531,1
46,482,0.2
47,451,0.86
47,595,0.86
47,610,0.79
47,490,0.76
47,476,0.79
47,570,0.24
47,483,0.2
48,484,0.2
49,496,1
49,506,0.24
49,485,0.2
50,506,1
50,496,0.24
50,485,0.2
51,632,0.83
51,486,0.2
52,461,1
52,463,0.24
52,488,0.2
53,463,1
53,461,0.24
53,488,0.2
54,539,0.96
54,489,0.2
55,692,0.89
55,490,0.2
56,476,0.86
56,610,0.86
56,490,0.83
56,595,0.79
56,451,0.79
56,491,0.2
57,564,0.24
57,492,0.2
58,645,0.83
58,493,0.2
59,517,0.2
59,451,0.24
59,448,0.24
59,494,0.2
60,517,0.2
60,451,0.24
60,448,0.24
60,494,0.2
61,709,0.89
61,526,0.2
61,501,0.24
61,495,0.2
62,485,0.96
62,619,0.79
62,506,0.2
62,496,0.2
63,445,0.9
63,628,0.83
63,497,0.2
64,687,0.89
64,498,0.2
65,554,0.86
65,600,0.79
65,511,0.83
65,509,0.76
65,599,0.76
65,590,0.79
65,499,0.2
66,515,0.24
66,500,0.2
67,731,0.93
67,526,0.2
67,495,0.24
67,501,0.2
68,495,1
68,526,0.2
68,501,0.2
69,472,1
69,503,0.2
70,460,1
70,504,0.2
71,454,1
71,505,0.2
72,542,1
72,507,0.2
73,860,1
73,508,0.2
74,855,1
74,509,0.2
75,698,0.89
75,510,0.2
76,629,0.83
76,511,0.2
77,851,1
77,512,0.2
78,444,1
78,441,0.24
78,543,0.2
78,513,0.2
79,500,1
79,515,0.2
80,669,0.86
80,586,0.76
80,516,0.2
81,816,1
81,518,0.2
82,519,0.2
82,529,0.24
83,474,1
83,520,0.2
84,450,1
84,521,0.2
85,820,1
85,532,0.2
85,522,0.2
86,498,0.89
86,523,0.2
87,524,0.2
87,578,0.24
88,525,0.2
88,541,0.24
89,744,0.94
89,527,0.2
90,778,0.96
90,528,0.2
91,529,0.2
91,519,0.24
92,530,0.2
92,566,0.24
93,482,1
93,531,0.2
94,720,0.9
94,647,0.83
94,533,0.2
95,466,1
95,534,0.2
96,470,1
96,535,0.2
97,452,1
97,536,0.2
98,870,1
98,537,0.2
99,617,0.79
99,538,0.2
99,545,0.24
100,489,1
100,539,0.2
101,821,1
101,540,0.2
102,525,1
102,541,0.2
103,507,1
103,542,0.2
104,544,0.24
105,548,0.24
105,546,0.24
106,547,0.24
107,748,0.94
107,549,0.24
108,601,0.9
108,574,0.86
108,589,0.83
108,554,0.83
108,490,0.79
